ZCTA5CE20,rat_sightings,population,poverty_rate,borough,pop_white,pop_black,rats_per_1000,white_prop,black_prop,white_pct,black_pct,poverty_pct
10001,447,30511,0.1508165894766166,Manhattan,18766,4305,14.65045393464652,0.6150568647373078,0.141096653665891,61.50568647373078,14.1096653665891,15.08165894766166
10002,1027,76873,0.2793413016006739,Manhattan,30854,9291,13.359697162853017,0.4013632875001626,0.12086168095430125,40.13632875001626,12.086168095430125,27.93413016006739
10003,1248,53560,0.1261668310359854,Manhattan,39676,3742,23.300970873786408,0.7407766990291262,0.069865571321882,74.07766990291262,6.986557132188199,12.61668310359854
10004,72,3711,0.0350257941895194,Manhattan,2548,206,19.40177849636217,0.6866073834545945,0.055510644031258424,68.66073834545945,5.551064403125842,3.5025794189519397
10005,84,9439,0.0425892573365822,Manhattan,7326,877,8.899247801673907,0.7761415404174171,0.092912384786524,77.61415404174171,9.2912384786524,4.25892573365822
10006,58,4096,0.146240234375,Manhattan,2734,256,14.16015625,0.66748046875,0.0625,66.748046875,6.25,14.6240234375
10007,133,7406,0.0222160122956546,Manhattan,6098,358,17.958412098298677,0.8233864434242506,0.04833918444504456,82.33864434242506,4.833918444504456,2.2216012295654597
10009,1297,60209,0.1965998038987585,Manhattan,38465,7330,21.541629988872096,0.6388579780431497,0.12174259662176751,63.88579780431497,12.17425966217675,19.65998038987585
10010,314,30702,0.1094536177450216,Manhattan,22198,3357,10.22734675265455,0.7230147873102729,0.10934141098299785,72.30147873102729,10.934141098299785,10.94536177450216
10011,925,48277,0.0934555367146751,Manhattan,38182,3142,19.1602626509518,0.7908942146363693,0.06508275162085465,79.08942146363694,6.508275162085465,9.34555367146751
10012,523,21426,0.1070868457165261,Manhattan,16222,1005,24.40959581816485,0.757117520769159,0.046905628675441055,75.7117520769159,4.690562867544106,10.70868457165261
10013,592,27219,0.123132710575066,Manhattan,17020,1100,21.74951320768581,0.6252985047209669,0.040412946838605385,62.52985047209669,4.041294683860539,12.3132710575066
10014,1017,29230,0.0677377936634625,Manhattan,25773,1355,34.79302086897024,0.8817310981867944,0.046356483065343825,88.17310981867944,4.6356483065343825,6.7737793663462496
10016,653,52971,0.1078290849926396,Manhattan,36892,3205,12.327499952804365,0.696456551698099,0.06050480451567839,69.6456551698099,6.050480451567839,10.78290849926396
10017,144,15297,0.1000918876345497,Manhattan,11274,921,9.413610511865071,0.7370072563247696,0.06020788389880369,73.70072563247696,6.0207883898803685,10.00918876345497
10018,167,8559,0.1558778445937979,Manhattan,4441,1053,19.51162518985863,0.5188690267554621,0.12302839116719243,51.88690267554621,12.302839116719243,15.587784459379789
10019,739,44942,0.1015558445052235,Manhattan,30610,4609,16.44341595834631,0.6811000845534244,0.10255440345333985,68.11000845534244,10.255440345333986,10.15558445052235
10020,2,0,,Manhattan,0,0,,,,,,
10021,755,39868,0.0472074468085106,Manhattan,33964,499,18.937493729306713,0.8519113073141367,0.012516303802548409,85.19113073141366,1.251630380254841,4.72074468085106
10022,321,34049,0.0699486452983885,Manhattan,27785,1039,9.427589650209992,0.8160298393491733,0.03051484625099122,81.60298393491733,3.051484625099122,6.99486452983885
10023,1249,69455,0.0843769521373114,Manhattan,50503,4763,17.98286660427615,0.7271326758332733,0.06857677632999784,72.71326758332734,6.857677632999784,8.437695213731141
10024,2300,63115,0.0823878287777204,Manhattan,52544,3305,36.441416462013784,0.8325120811217619,0.05236473104650242,83.25120811217619,5.2364731046502415,8.23878287777204
10025,3950,93065,0.1558261738034978,Manhattan,61848,14563,42.443453500241766,0.6645677752108741,0.15648202868962552,66.4567775210874,15.648202868962551,15.582617380349781
10026,2379,37123,0.1773332614438992,Manhattan,12969,19562,64.08426043153841,0.3493521536513752,0.5269509468523557,34.935215365137516,52.69509468523557,17.73332614438992
10027,2483,63885,0.2606362934917188,Manhattan,22481,27508,38.8667136260468,0.35189794161383736,0.4305862095953667,35.18979416138374,43.05862095953667,26.06362934917188
10028,1508,49077,0.0492231148811223,Manhattan,43920,1119,30.72722456547874,0.8949202273977627,0.02280090470077633,89.49202273977626,2.2800904700776328,4.92231148811223
10029,1606,77447,0.3098253885803332,Manhattan,24556,28099,20.73676191459966,0.3170684468087854,0.36281586116957404,31.706844680878536,36.281586116957406,30.98253885803332
10030,1175,29297,0.3643275454638857,Manhattan,6270,17973,40.106495545619005,0.2140150868689627,0.613475782503328,21.40150868689627,61.3475782503328,36.432754546388566
10031,1806,61058,0.2394898128209375,Manhattan,18943,24627,29.578433620491992,0.3102459956107308,0.40333780995119395,31.024599561073078,40.3337809951194,23.94898128209375
10032,1167,55610,0.2241280731846769,Manhattan,16375,12545,20.985434274411077,0.29446142780075524,0.2255889228556015,29.446142780075522,22.55889228556015,22.41280731846769
10033,1150,54838,0.1814765448554185,Manhattan,25444,7814,20.97085962288924,0.4639848280389511,0.14249243225500566,46.39848280389511,14.249243225500566,18.14765448554185
10034,1067,37758,0.161610268378063,Manhattan,15751,7606,28.258912018645056,0.4171566290587425,0.20144075427723926,41.715662905874254,20.144075427723926,16.1610268378063
10035,892,38862,0.3420962696180236,Manhattan,12472,16194,22.95301322628789,0.3209304719263033,0.41670526478307857,32.09304719263033,41.670526478307856,34.20962696180236
10036,595,31036,0.1395697522816167,Manhattan,20588,3621,19.171284959401984,0.6633586802422993,0.11667096275293208,66.33586802422992,11.667096275293208,13.956975228161669
10037,529,19031,0.2902519752295537,Manhattan,3838,14121,27.7967526667017,0.20167095791077716,0.7419998949083075,20.167095791077717,74.19998949083076,29.02519752295537
10038,276,22235,0.1937579368955748,Manhattan,12104,2956,12.412862604002699,0.5443669889813357,0.13294355745446368,54.43669889813357,13.294355745446367,19.37579368955748
10039,843,32492,0.2847269361308238,Manhattan,7318,20215,25.944847962575405,0.2252246706881694,0.6221531453896344,22.52246706881694,62.21531453896344,28.472693613082377
10040,682,40096,0.1732812340382061,Manhattan,15223,6114,17.00917797286512,0.3796638068635275,0.15248403830806065,37.96638068635275,15.248403830806065,17.328123403820612
10044,10,11520,0.1195451183431952,Manhattan,6318,1551,0.8680555555555555,0.5484375,0.13463541666666667,54.84375,13.463541666666668,11.95451183431952
10065,285,30808,0.0626161217771113,Manhattan,25675,914,9.250843936639834,0.8333874318358868,0.02966761880031161,83.33874318358868,2.966761880031161,6.261612177711131
10069,35,6509,0.2548778614226455,Manhattan,3187,180,5.377170072207712,0.48962974343217086,0.027654017514211093,48.962974343217084,2.765401751421109,25.48778614226455
10075,683,21897,0.1470918797415004,Manhattan,18965,686,31.191487418367814,0.866100379047358,0.03132849248755537,86.6100379047358,3.1328492487555373,14.70918797415004
10112,2,0,,Manhattan,0,0,,,,,,
10115,1,0,,Manhattan,0,0,,,,,,
10128,1349,57976,0.0892485789546651,Manhattan,45410,4327,23.26824893059197,0.783255140057955,0.07463433144749551,78.3255140057955,7.463433144749551,8.924857895466511
10154,1,0,,Manhattan,0,0,,,,,,
10162,7,1603,0.0368059887710542,Manhattan,1509,160,4.366812227074235,0.9413599500935745,0.09981285090455397,94.13599500935746,9.981285090455398,3.6805988771054197
10278,1,0,,Manhattan,0,0,,,,,,
10280,10,8933,0.0372775103548639,Manhattan,5909,195,1.119444755401321,0.6614799059666405,0.02182917273032576,66.14799059666406,2.182917273032576,3.7277510354863903
10282,17,5887,0.0577543740445048,Manhattan,4086,595,2.887718702225242,0.6940716833701376,0.10107015457788347,69.40716833701376,10.107015457788346,5.77543740445048
10301,536,41052,0.1872248899559823,Staten Island,22080,12356,13.056611127350678,0.5378544285296697,0.30098411770437494,53.785442852966966,30.098411770437494,18.72248899559823
10302,255,19030,0.1708497763746382,Staten Island,8523,4155,13.399894902785077,0.44787178139779293,0.2183394640042039,44.78717813977929,21.83394640042039,17.08497763746382
